"번호","k-아파트코드","k-아파트명","k-단지분류(아파트,주상복합등등)","kapt도로명주소","주소(시도)k-apt주소split","주소(시군구)","주소(읍면동)","나머지주소","주소(도로명)","주소(도로상세주소)","k-전화번호","k-팩스번호","단지소개기존clob","단지첨부파일","k-세대타입(분양형태)","k-관리방식","k-복도유형","k-난방방식","k-전체동수","k-전체세대수","k-건설사(시공사)","k-시행사","k-사용검사일-사용승인일","k-연면적","k-주거전용면적","k-관리비부과면적","k-전용면적별세대현황(60㎡이하)","k-전용면적별세대현황(60㎡~85㎡이하)","k-85㎡~135㎡이하","k-135㎡초과","k-홈페이지","k-등록일자","k-수정일자","고용보험관리번호","경비비관리형태","세대전기계약방법","청소비관리형태","건축면적","주차대수","기타/의무/임대/임의=1/2/3/4","단지승인일","사용허가여부","관리비 업로드","좌표X","좌표Y","단지신청일"
"1055","A15883201","양천벽산블루밍","아파트","서울특별시 양천구 월정로9길 17","서울","양천구","신월동","1026","월정로9길","17","0226033149","0226902948","","","분양","위탁관리","계단식","개별난방","6","485","벽산건설(주)","신?대경외 연합재건축주택조합","2006-09-15 00:00:00.0","60660","36579","45872","168","317","0","","","","2022-04-05 12:01:05.0","","위탁","종합계약","위탁","0.00","497","의무","2013-05-27 13:47:10.0","Y","N","126.8394482","37.5243645","2013-03-07 09:46:50.0"
"1056","A13983810","상계수락파크빌","아파트","서울특별시 노원구 동일로248길 16","서울","노원구","상계동","수락파크빌아파트","동일로248길","16","029522359","029322369","","","분양","위탁관리","계단식","지역난방","7","468","SH공사","SH공사","2001-05-29 00:00:00.0","82780","47920","61053","0","193","275","","","","2022-04-05 08:51:00.0","90700037271","위탁","종합계약","위탁","5708.21","714","의무","2017-07-26 17:21:28.0","Y","N","127.0778213","37.6694182","2013-03-07 09:46:51.0"
"1057","A15681105","대방성원","아파트","서울특별시 동작구 여의대방로44길 9","서울","동작구","대방동","성원아파트","여의대방로44길","9","028231319","028231320","","","분양","위탁관리","계단식","개별난방","3","487","성원건설","성원건설","1994-01-15 00:00:00.0","54734","41064","41064","0","487","0","","","","2022-04-05 15:25:52.0","90700082111","위탁","종합계약","위탁","54733.93","464","의무","2019-08-29 14:13:20.0","Y","N","126.9256289","37.5094454","2013-03-07 09:46:51.0"
"1058","A12010203","홍은극동","아파트","서울특별시 서대문구 포방터10길 33","서울","서대문구","홍은동","극동아파트","포방터10길","33","023911919","023951919","","","분양","위탁관리","계단식","개별난방","6","488","극동건설","공익건설(주)외 9개 조합","1995-11-02 00:00:00.0","60125","42399","52868","0","473","0","","","","2022-04-05 10:35:18.0","11082772480","위탁","단일계약","위탁","0.00","323","의무","2016-05-10 11:24:15.0","Y","N","126.9509978","37.6030233","2013-03-07 09:46:51.0"
"1059","A15703303","등촌미주진로","아파트","서울특별시 강서구 공항대로 351-21","서울","강서구","등촌동","701","공항대로","351-21","0226580085","0236633735","","","분양","위탁관리","계단식","지역난방","8","488","미주실업(주)진로건설(주)","미주실업(주)진로건설(주)","1994-10-29 00:00:00.0","61300","41460","51533","0","488","0","","","","2022-04-05 12:20:27.0","90700036951","위탁","단일계약","위탁","5847.87","504","의무","2013-06-10 00:00:00.0","Y","N","126.8470141","37.5598381","2013-03-07 09:46:51.0"
"1060","A15785709","방화청솔3단지","아파트","서울특별시 강서구 방화대로47길 55","서울","강서구","방화동","방화3단지아파트","방화대로47길","55","0226657166","0260917166","","","분양","위탁관리","복도식","지역난방","3","488","서울시도시개발공사","서울시도시개발공사","1994-07-28 00:00:00.0","36320","24088","36320","488","0","0","","","","2022-04-05 12:51:42.0","57019838120","위탁","단일계약","직영","0.00","309","의무","2018-09-21 17:33:27.0","Y","N","126.8127261","37.5757615","2013-03-07 09:46:51.0"
"1061","A15286805","구로한신1차","아파트","","서울","구로구","구로동","642-9","","","028565993","028567987","","","분양","자치관리","복도식","중앙난방","2","488","한신공영","한국수출공단직장연합주택조합","1988-12-17 00:00:00.0","30799","21896","30258","488","0","0","","","","2022-04-05 13:15:58.0","11380003510","직영","단일계약","위탁","2516.00","126","의무","2017-05-15 12:31:57.0","Y","N","126.8737607","37.4963839","2013-03-07 09:46:51.0"
"1062","A13405002","암사삼성광나루","아파트","서울특별시 강동구 상암로3길 77","서울","강동구","암사동","","상암로3길","77","0230134500","0230134501","","","분양","위탁관리","계단식","개별난방","4","490","삼성중공업(주)","신창보훈아파트재건축주택조합","2002-11-01 00:00:00.0","76947","43442","56280","150","220","72","","","","2022-04-05 18:56:54.0","90700064641","위탁","종합계약","위탁","3464.00","627","의무","2016-11-09 13:20:04.0","Y","N","127.1271166","37.5540433","2013-03-07 09:46:52.0"
"1063","A13009001","휘경동양1.2차","아파트","서울특별시 동대문구 망우로 135","서울","동대문구","휘경동","115","망우로","135","0222152338","0222152339","4","","분양","위탁관리","혼합식","개별난방","4","490","동양메이져(주)","동양메이져(주)","2000-05-27 00:00:00.0","698653","40113","52772","161","227","102","","","","2022-04-05 06:12:01.0","20482616430","위탁","","위탁","0.00","0","의무","2014-11-27 16:58:48.0","Y","N","127.0675572","37.5926669","2013-03-07 09:46:52.0"
"1064","A13082702","이문대우1차","아파트","서울특별시 동대문구 한천로58길 139","서울","동대문구","이문동","45","한천로58길","139","029681066","029681067","4","","분양","위탁관리","계단식","개별난방","7","490","대우건설","(주)청탑","2001-12-20 00:00:00.0","75170","44085","59471","0","406","84","","","","2022-04-05 06:17:35.0","90700326491","위탁","단일계약","위탁","3728.43","611","의무","2017-10-30 15:47:03.0","Y","N","127.0698249","37.6025608","2013-03-07 09:46:52.0"
"1065","A13527014","도곡대림아크로빌","주상복합","서울특별시 강남구 언주로30길 13","서울","강남구","도곡동","467-6","언주로30길","13","0221875114","0221875435","4","","분양","위탁관리","계단식","중앙난방","2","490","대림산업","대림산업","1999-11-26 00:00:00.0","144215","73177","101214","4","6","174","","www.icitiro.com/acrovill/index.jsp","","2022-04-05 17:43:39.0","90901058391","기타","종합계약","기타","0.00","888","의무","2015-04-23 13:17:10.0","Y","N","127.0510858","37.4881225","2013-03-07 09:46:44.0"
"1066","A13994302","상계한양","아파트","서울특별시 노원구 동일로216길 92","서울","노원구","상계동","757번지","동일로216길","92","029317643","0263192221","","","분양","위탁관리","계단식","지역난방","5","492","(주)한양","(주)한양","1988-05-30 00:00:00.0","54246","43797","53479","0","0","492","","sghanyang.or.kr","","2022-04-05 09:04:14.0","907-00-08757-1","위탁","단일계약","위탁","4720.00","410","의무","2017-11-21 10:53:55.0","Y","N","127.066935","37.6520108","2013-03-07 09:46:44.0"
"1067","A15185704","신림건영1차","아파트","서울특별시 관악구 문성로 74","서울","관악구","신림동","746-43","문성로","74","028543718","028543728","","","분양","자치관리","복도식","개별난방","3","492","건영","건영","1984-10-16 00:00:00.0","37550","27002","37092","216","276","0","","","","2022-04-05 15:47:54.0","","직영","","직영","0.00","0","의무","2013-06-23 11:45:06.0","Y","N","126.9123312","37.4763359","2013-03-07 09:46:44.0"
"1068","A13983811","수락산벨리체아파트","아파트","서울특별시 노원구 동일로250길 18","서울","노원구","상계동","노원구 상계1동 1265번지","동일로250길","18","0233913860","0233913875","","","분양","위탁관리","복도식","지역난방","12","492","미주실업동방티앤씨","미주실업동방티앤씨","2000-06-14 00:00:00.0","104648","60505","72487","0","0","492","","","","2022-04-05 09:14:08.0","2228264686","위탁","종합계약","위탁","0.00","1","의무","2018-08-28 15:17:05.0","Y","N","127.0565963","37.6816146","2013-03-07 09:46:44.0"
"1069","A13880105","가락2차쌍용아파트","아파트","서울특별시 송파구 송이로15길 31","서울","송파구","가락동","21-6.","송이로15길","31","024082270","024082271","","","분양","위탁관리","계단식","개별난방","5","492","쌍용건설","쌍용건설","1999-10-27 00:00:00.0","61165","37240","49645","175","317","0","","","","2022-04-05 18:14:36.0","911-01-00059-1","위탁","종합계약","위탁","0.00","508","의무","2019-03-15 11:28:12.0","Y","N","127.1226538","37.5014471","2013-03-07 09:46:44.0"
"1070","A13784907","방배신동아","아파트","서울특별시 서초구 효령로 164","서울","서초구","방배동","988-1","효령로","164","025820093","025828393","","","분양","자치관리","혼합식","중앙난방","6","493","신동아건설(주)","신동아건설(주)","1981-12-30 00:00:00.0","78249","64618","70831","0","0","243","","","","2022-04-05 15:56:24.0","21682640030","위탁+직영","단일계약","위탁","5542.05","604","의무","2018-05-29 10:29:00.0","Y","N","127.0013722","37.4812135","2013-03-07 09:46:44.0"
"1071","A13824003","한신코아","아파트","서울특별시 송파구 올림픽로35가길 11","서울","송파구","신천동","11-9번지","올림픽로35가길","11","024162203","024144056","","","분양","위탁관리","복도식","중앙난방","1","493","한신공영","한신공영","1988-12-30 00:00:00.0","34950","23856","34937","452","41","0","","cafe.naver.com/hanshincore","","2022-04-05 18:00:06.0","90700298681","위탁","단일계약","위탁","0.00","350","의무","2014-12-03 13:27:55.0","Y","N","127.1043832","37.5168027","2013-03-07 09:46:44.0"
"1072","A15285004","구로극동","아파트","서울특별시 구로구 구로중앙로7길 28","서울","구로구","구로동","493","구로중앙로7길","28","028645542","028587536","","","분양","위탁관리","복도식","개별난방","4","493","극동건설","극동건설","1984-12-08 00:00:00.0","51540","36923","46390","163","88","242","","없음","","2022-04-05 13:14:46.0","908-00-28922-1","위탁","단일계약","위탁","18832.00","258","의무","1984-12-08 00:00:00.0","Y","N","126.8894082","37.4909119","2013-03-07 09:46:46.0"
"1073","A13983712","상계3차현대아파트 ","아파트","서울특별시 노원구 수락산로 234","서울","노원구","상계동","1063번지","수락산로","234","029321797","0262241996","32","FILE_000000000140477","분양","위탁관리","계단식","지역난방","6","494","현대산업개발","현대산업개발","1999-04-24 00:00:00.0","52166","41971","52166","0","494","0","","","","2022-04-05 08:51:31.0","907-00-06792-1","위탁","단일계약","위탁","0.00","400","의무","2016-03-16 14:55:26.0","Y","N","127.053546","37.6716416","2013-03-07 09:46:46.0"
"1074","A13980012","공릉우방4단지","아파트","서울특별시 노원구 노원로 58","서울","노원구","공릉동","108","노원로","58","029754774","0262274774","","","분양","위탁관리","계단식","지역난방","5","494","우방건설","군인공제회","2000-05-04 00:00:00.0","63732","36970","36970","0","494","0","","없음","","2022-04-05 08:36:00.0","01-049954-7-350-1205","위탁","종합계약","위탁","5075.18","505","의무","2016-05-25 11:18:45.0","Y","N","127.0873279","37.6266554","2013-03-07 09:46:46.0"
"1076","A13287503","쌍문동익파크","아파트","서울특별시 도봉구 우이천로32길 65","서울","도봉구","쌍문동","285-5","우이천로32길","65","029942827","0262292826","","","분양","위탁관리","혼합식","개별난방","4","495","동익건설","동익건설","1987-05-22 00:00:00.0","50372","38357","48396","0","495","0","","","","2022-04-05 07:49:48.0","90700280301","위탁","단일계약","위탁","0.00","0","의무","2013-06-21 14:45:31.0","Y","N","127.0247582","37.6514803","2013-03-07 09:46:46.0"
"1077","A15880905","목동금호베스트빌","아파트","서울특별시 양천구 목동중앙북로8길 111","서울","양천구","목동","549","목동중앙북로8길","111","0260947233","0226529073","","","분양","위탁관리","혼합식","지역난방","5","495","금호건설(주)","주택조합","2002-03-27 00:00:00.0","78151","47483","61516","54","144","297","","목동금호베스트빌.apti.co.kr","","2022-04-05 11:58:40.0","90700037211","위탁","종합계약","위탁","0.00","23","의무","2017-03-24 09:59:03.0","Y","N","126.8683758","37.5450018","2013-03-07 09:46:47.0"
"1078","A15086202","양평신동아아파트","아파트","서울특별시 영등포구 영등포로12길 8","서울","영등포구","양평동1가","20번지","영등포로12길","8","0226343852","0226753853","","","분양","위탁관리","복도식","개별난방","4","495","신동아건설(주)","신동아건설(주)","1982-04-06 00:00:00.0","39703","26445","37983","375","120","0","","","","2022-04-05 14:29:52.0","107-82-61018","직영","종합계약","위탁","2998.70","400","의무","2016-07-11 11:50:24.0","Y","N","126.8865433","37.5221616","2013-03-07 09:46:47.0"
"1079","A13003404","답십리우성그린","아파트","서울특별시 동대문구 답십리로59길 33","서울","동대문구","답십리동","989-1","답십리로59길","33","0222481675","0264629282","1489","","분양","위탁관리","혼합식","개별난방","5","496","우성건설","우성건설","1997-05-23 00:00:00.0","59040","39018","51177","121","375","0","","","","2022-04-05 06:01:01.0","90700291231","위탁","종합계약","위탁","0.00","424","의무","2019-01-29 17:10:07.0","Y","N","127.0660452","37.5748599","2013-03-07 09:46:48.0"
"1080","A13523003","수서가람","아파트","서울특별시 강남구 일원로 127","서울","강남구","일원동","가람아파트","일원로","127","024519952","024519951","111","","분양","위탁관리","계단식","지역난방","13","496","동원건설(248세대)/두산건설(248세대)","..","1993-03-09 00:00:00.0","53188","40216","48752","0","496","0","","","","2022-04-05 17:35:15.0","21380024170","직영","종합계약","위탁","11463.00","483","의무","2016-06-10 15:14:44.0","Y","N","127.0853872","37.4824375","2013-03-07 09:46:48.0"
"1081","A13980413","화랑해링턴플레이스","아파트","서울특별시 노원구 공릉로34길 45","서울","노원구","공릉동","746번지","공릉로34길","45","029497411","029491440","","","분양","위탁관리","혼합식","개별난방","3","196","(주)효성건설","완성연립조합","1999-12-24 00:00:00.0","28042","17381","21924","45","106","45","","","","2022-04-05 08:38:13.0","21080025000","위탁","종합계약","위탁","0.00","255","의무","2013-06-23 12:36:39.0","Y","N","127.0808511","37.6239469","2013-03-07 09:46:48.0"
"1082","A13881603","거여현대1차","아파트","서울특별시 송파구 오금로54길 10","서울","송파구","거여동","362","오금로54길","10","024498490","024048490","","","분양","위탁관리","계단식","지역난방","5","497","남산직장조합","남산직장조합","1992-03-26 00:00:00.0","55661","41111","55506","0","497","0","","","","2022-04-05 18:36:12.0","90700312751","위탁","종합계약","위탁","4250.00","615","의무","2013-06-12 18:05:09.0","Y","N","127.1406364","37.4931374","2013-03-07 09:46:49.0"
"1083","A15288002","구로이화우성","아파트","서울특별시 구로구 도림로22길 8","서울","구로구","구로동","이화우성아파트","도림로22길","8","028632836","028668132","","","분양","위탁관리","혼합식","개별난방","5","497","우성건설","우성건설","1998-07-15 00:00:00.0","64609","40645","52837","206","171","120","","이화우성.apti.co.kr","","2022-04-05 13:08:25.0","9803411395301206","위탁","단일계약","위탁","0.00","493","의무","2015-11-24 10:07:53.0","Y","N","126.8940421","37.4899094","2013-03-07 09:46:49.0"
"1084","A13406206","둔촌현대1차","아파트","서울특별시 강동구 동남로49길 57","서울","강동구","둔촌동","둔촌현대1차아파트관리사무소","동남로49길","57","024769308","024840818","","","분양","위탁관리","계단식","개별난방","5","498","한국도시개발(주)","한국도시개발(주)","1984-11-30 00:00:00.0","54079","42011","52539","0","498","0","","","","2021-05-31 17:16:16.0","212-82-60140-0","위탁","단일계약","위탁","0.00","0","의무","2018-08-29 17:32:14.0","Y","N","127.1465572","37.5317282","2013-03-07 09:46:49.0"
"1085","A13286106","쌍문성원","아파트","서울특별시 도봉구 해등로 242-11","서울","도봉구","쌍문동","53","해등로","242-11","0262216269","0262216270","306","","분양","위탁관리","계단식","개별난방","7","498","성원건설주식회사","주택조합","1989-10-17 00:00:00.0","49265","39970","48669","0","498","0","","","","2022-04-05 07:50:49.0","90700296781","위탁","종합계약","위탁","3839.00","206","의무","2013-04-30 15:23:37.0","Y","N","127.0292747","37.6585585","2013-03-07 09:46:49.0"
"1086","A15786426","염창현대1차","아파트","","서울","강서구","염창동","288","","","0236627053","0260927053","","","분양","위탁관리","계단식","개별난방","5","498","현대산업개발","KBS주택조합","1994-04-21 00:00:00.0","58640","42076","57987","0","498","0","","https://염창현대1차.apti.co.kr/default.asp","","2022-04-05 12:08:56.0","90700081611","위탁","종합계약","위탁","4536.75","570","의무","2013-06-23 10:50:12.0","Y","N","126.8751623","37.5528062","2013-03-07 09:46:50.0"
"1087","A13588402","수서한아름","아파트","서울특별시 강남구 광평로51길 22","서울","강남구","수서동","관리사무소","광평로51길","22","0222260737","024454888","2038","","분양","위탁관리","계단식","지역난방","7","498","한라 두진","한라 두진","1993-11-01 00:00:00.0","86439","59106","71711","0","0","438","","","","2022-04-05 17:39:25.0","90700297491","위탁","단일계약","위탁","6395.31","720","의무","1993-11-01 00:00:00.0","Y","N","127.1035545","37.489365","2013-03-07 09:46:50.0"
"1088","A13307101","서울숲삼부아파트","아파트","서울특별시 성동구 왕십리로 280","서울","성동구","행당동","147","왕십리로","280","0222997292","0262127293","","","분양","위탁관리","계단식","개별난방","7","498","삼부토건","행당동 제2구역 재개발조합","1998-07-15 00:00:00.0","76080","46915","57515","0","348","150","","","","2022-04-05 05:03:23.0","20680007640","직영","","위탁","0.00","0","의무","2013-06-23 14:44:26.0","Y","N","127.0374627","37.560002","2013-03-07 09:46:50.0"
"1089","A15205303","구로한신휴플러스","아파트","서울특별시 구로구 디지털로31길 120","서울","구로구","구로동","1280","디지털로31길","120","028550855","028550856","2000","FILE_000000000223963","분양","위탁관리","혼합식","개별난방","7","498","한신공영(주)","구로제7구역주택재개발조합","2007-05-17 00:00:00.0","64419","28411","37737","456","42","0","","emaul.co.kr","","2022-04-05 13:13:02.0","90700040031","위탁","","위탁","4481.02","498","의무","2014-11-25 11:40:01.0","Y","N","126.8913409","37.4889722","2013-03-07 09:46:50.0"
"1090","A13606102","돈암범양","아파트","서울특별시 성북구 정릉로 402-16","서울","성북구","돈암동","631번지","정릉로","402-16","0262232655","0262232656","","","분양","위탁관리","혼합식","개별난방","5","499","범양건영(주)","범양재건축조합","1998-12-09 00:00:00.0","65563","40840","52509","202","179","118","","","","2022-04-05 06:54:29.0","90700278641","위탁","단일계약","위탁","0.00","0","의무","2013-06-23 12:58:25.0","Y","N","127.0280209","37.603349","2013-03-07 09:46:50.0"
"1091","A13985605","중계중앙하이츠","아파트","서울특별시 노원구 덕릉로84길 7","서울","노원구","중계동","161-5","덕릉로84길","7","029326872","029388514","4","","분양","위탁관리","혼합식","개별난방","5","499","중앙산업","한전주택조합외5개조합","1998-06-16 00:00:00.0","62941","40605","59181","53","446","0","","","","2022-04-05 09:22:34.0","907-00-08191-1","위탁","종합계약","위탁","59181.20","0","의무","2013-06-04 16:18:33.0","Y","N","127.0764103","37.6591329","2013-03-07 09:46:50.0"
"1092","A13003002","답십리동서울한양","아파트","서울특별시 동대문구 답십리로 184","서울","동대문구","답십리동","동서울한양아파트","답십리로","184","0222491335","0222491332","555","FILE_000000000003553","분양","위탁관리","복도식","개별난방","3","499","(주)한양","답십리3-재개발조합","1989-07-25 00:00:00.0","49541","34412","46955","222","277","0","","동서울한양.okhomeapt.co.kr/index.asp","","2022-04-05 06:04:02.0","204-82-61037","직영","단일계약","직영","4629.00","329","의무","2017-08-06 17:58:55.0","Y","N","127.0603912","37.5714222","2013-03-07 09:46:50.0"
"1093","A14003006","이촌동아그린아파트","아파트","서울특별시 용산구 이촌로 100-8","서울","용산구","이촌동","서울 용산구 이촌2동 411번지","이촌로","100-8","027128574","0267498576","","","분양","위탁관리","혼합식","지역난방","6","499","동아건설","동아건설","1999-05-31 00:00:00.0","66058","38076","50507","228","167","104","","","","2022-04-05 04:42:58.0","106-80-02098-0","위탁","종합계약","위탁","0.00","5","의무","2013-06-23 12:24:20.0","Y","N","126.9579794","37.5240081","2013-03-07 09:46:52.0"
"1094","A12187906","월드컵참누리","아파트","서울특별시 마포구 월드컵북로38길 54","서울","마포구","중동","398","월드컵북로38길","54","023755145","023755143","","","분양","위탁관리","계단식","개별난방","9","499","울트라건설","중동 월드컵참누리","2006-05-04 00:00:00.0","73565","41342","51956","42","457","0","","cafe.daum.net/ultraapt","","2022-04-05 11:17:21.0","10582658710","위탁","종합계약","위탁","0.00","0","의무","2017-07-24 10:30:04.0","Y","N","126.9045765","37.5726291","2013-03-07 09:46:52.0"
"1095","A12012101","래미안남가좌2차","아파트","서울특별시 서대문구 수색로6길 43","서울","서대문구","남가좌동","379","수색로6길","43","023763732","023763736","","","분양","위탁관리","혼합식","개별난방","10","503","삼성건설","삼성건설","2005-10-26 00:00:00.0","80850","39733","52797","214","208","81","","","","2022-04-05 10:42:11.0","907-00-28671-1","위탁","종합계약","위탁","0.00","574","의무","2018-02-13 09:57:23.0","Y","N","126.9126716","37.5719992","2013-03-07 09:46:43.0"
"1096","A15703304","등촌주공2단지","아파트","서울특별시 강서구 강서로68길 36","서울","강서구","등촌동","687번지(강서구 강서로 68길 36)","강서로68길","36","0226589688","0236614793","","","분양","위탁관리","복도식","지역난방","6","505","신태진건설","대한주택공사","1995-06-05 00:00:00.0","29124","21348","29124","505","0","0","","","","2022-04-05 12:19:58.0","9150765812","위탁","단일계약","위탁","0.00","198","의무","2015-06-12 11:28:22.0","Y","N","126.8425169","37.5649371","2013-03-07 09:46:43.0"
"1097","A15288808","SK VIEW","주상복합","서울특별시 구로구 경인로 638","서울","구로구","신도림동","432-1 신도림 SK VIEW 관리사무소","경인로","638","0226330571","0226330572","2158","","분양","위탁관리","계단식","개별난방","3","304","sk건설","(주)더랜드","2006-04-24 00:00:00.0","44408","25831","32661","0","304","0","","","","2022-04-05 13:06:23.0","21487496410","위탁","종합계약","위탁","2525450.00","643","의무","2015-05-18 17:39:06.0","Y","Y","126.8865014","37.5070085","2013-03-07 09:46:43.0"
"1098","A13922108","중계양지대림1차","아파트","서울특별시 노원구 덕릉로71길 30","서울","노원구","중계동","587","덕릉로71길","30","0262215493","029525493","","","분양","위탁관리","계단식","지역난방","5","508","대림산업","대림산업","1998-12-01 00:00:00.0","70710","47819","60589","24","308","176","","","","2022-04-05 09:38:18.0","90700327031","직영","종합계약","위탁","0.00","6","의무","2013-06-23 12:36:32.0","Y","N","127.0709907","37.6514028","2013-03-07 09:46:29.0"
"1099","A15004406","당산현대3차","아파트","서울특별시 영등포구 당산로41길 23","서울","영등포구","당산동4가","당산현대아파트","당산로41길","23","0226354016","0226354015","","","분양","자치관리","혼합식","개별난방","6","509","현대건설","ㅎㅎㅎ","1988-12-28 00:00:00.0","48440","38466","48440","120","389","0","","","","2022-04-05 14:14:47.0","107-82-68971","위탁","단일계약","위탁","0.00","300","의무","2016-12-28 15:01:40.0","Y","N","126.8964119","37.5310896","2013-03-07 09:46:29.0"
"1100","A12112002","마포강변힐스테이트","아파트","서울특별시 마포구 신수로 15","서울","마포구","현석동","222","신수로","15","0232734775","0232734776","4","","분양","위탁관리","혼합식","개별난방","10","510","현대건설(주)","현석구역재개발조합","2004-02-16 00:00:00.0","76409","41151","41151","204","206","100","","","","2022-04-05 11:05:27.0","91711843961","위탁","단일계약","위탁","4433.19","588","의무","2018-11-02 14:29:16.0","Y","N","126.9336392","37.5433077","2013-03-07 09:46:29.0"
"1101","A14207202","래미안수유","아파트","서울특별시 강북구 한천로159길 8","서울","강북구","수유동","강북구수유2동730 래미안수유아파트","한천로159길","8","029913486","029913487","321","","분양","위탁관리","혼합식","개별난방","6","510","삼성물산주택사업부","수유제2구역재개발조합","2001-11-29 00:00:00.0","82140","42712","55277","183","194","133","","","","2022-04-05 07:45:40.0","91406058631","위탁","단일계약","위탁","4779.65","610","의무","2017-03-03 09:36:30.0","Y","N","127.0181926","37.6447964","2013-03-07 09:46:29.0"
"1102","A15886510","신정학마을2단지","아파트","서울특별시 양천구 신정로14길 1","서울","양천구","신정동","1294번지","신정로14길","1","0226968412","0226921513","","","임대","위탁관리","복도식","지역난방","4","510","두산건설(주)","SH공사","2000-10-20 00:00:00.0","47601","22974","47601","510","0","0","","","","2022-04-05 11:35:21.0","11780043250","위탁","","위탁","0.00","0","임대","2013-11-21 11:11:43.0","Y","N","126.8446745","37.5091685","2013-03-07 09:46:26.0"
"1103","A13592002","대우디오빌역삼","주상복합","서울특별시 강남구 언주로 427","서울","강남구","역삼동","720-25번지","언주로","427","0221936000","0221936004","","","분양","위탁관리","복도식","지역난방","1","457","대우건설","대우건설","2002-06-25 00:00:00.0","34281","18738","34281","434","23","0","","","","2022-04-05 16:52:30.0","","위탁","종합계약","위탁","0.00","330","의무","2013-06-23 14:24:41.0","Y","N","127.0429002","37.5015202","2013-03-07 09:46:26.0"
"1104","A15805404","목동대원칸타빌23단지","아파트","서울특별시 양천구 목동중앙로 11","서울","양천구","목동","941 번지외 3필지","목동중앙로","11","0226510211","0226514591","1096","","분양","위탁관리","계단식","개별난방","6","511","(주)대원","조합","2003-06-28 00:00:00.0","81568","46977","46977","9","387","94","","","","2022-04-05 11:46:53.0","11782682310","위탁","","위탁","0.00","659","의무","2015-01-12 11:20:37.0","Y","N","126.8668586","37.5321007","2013-03-07 09:46:26.0"
"1105","A15101702","관악산휴먼시아3단지","아파트","서울특별시 관악구 난곡로 63","서울","관악구","신림동","1735-2 ","난곡로","63","028542228","028542229","","","임대","위탁관리","복도식","개별난방","4","512","양우건설","한국토지주택공사","2008-03-13 00:00:00.0","40655","20388","40655","512","0","0","","","","2022-04-05 15:49:18.0","","위탁","종합계약","위탁","1871.69","362","의무","2013-06-23 11:45:02.0","Y","N","126.918575","37.4605825","2013-03-07 09:46:26.0"
"1106","A15805111","목동현대하이페리온2차","아파트","서울특별시 양천구 오목로 300","서울","양천구","목동","204동 1층","오목로","300","0226401970","0226401974","248","FILE_000000000002405","분양","위탁관리","계단식","지역난방","4","576","현대건설(주)","(주)코리아원","2006-11-30 00:00:00.0","136860","80901","97107","0","0","188","","www.hyperion2apt.net","","2022-04-05 11:52:55.0","915-08-11946-1","위탁","종합계약","위탁","7503.00","1143","의무","2016-11-23 16:52:35.0","Y","N","126.870491","37.524211","2013-03-07 09:46:27.0"
"1107","A13820004","가락1차현대아파트 ","아파트","서울특별시 송파구 동남로 160","서울","송파구","문정동","현대아파트","동남로","160","024082336","024022338","","","분양","위탁관리","계단식","지역난방","8","514","현대산업개발","한국도시개발(주)","1984-11-14 00:00:00.0","67952","54728","66649","0","228","286","","","","2022-04-05 18:16:58.0","9503-82012","위탁","","위탁","5500.72","257","의무","2016-08-22 11:12:36.0","Y","N","127.1280554","37.4913441","2013-03-07 09:46:27.0"
"1108","A15681106","대방현대1차","아파트","서울특별시 동작구 등용로 127","서울","동작구","대방동","","등용로","127","028252190","028252191","5","FILE_000000000004291","분양","위탁관리","혼합식","개별난방","5","514","현대건설(주)","한일은행조합외5개 조합","1994-08-20 00:00:00.0","60764","41660","60764","80","434","0","","","","2022-04-05 15:23:14.0","10882611220","위탁","종합계약","위탁","4235.58","524","의무","2013-06-23 11:07:03.0","Y","N","126.9313091","37.5126917","2013-03-07 09:46:27.0"
"1109","A13676605","길음뉴타운 데시앙","아파트","서울특별시 성북구 서경로 28","서울","성북구","정릉동","1018","서경로","28","029121417","029121418","","","분양","위탁관리","혼합식","개별난방","6","514","(주)태영","숭덕재건축조합","1999-11-22 00:00:00.0","70757","39633","53099","286","113","115","","www.intm.com/정릉태영","","2022-04-05 07:05:13.0","907-00-23992-1","위탁","단일계약","위탁","0.00","0","의무","2019-10-02 17:00:46.0","Y","N","127.0161135","37.6064904","2013-03-07 09:46:27.0"
"1110","A13511201","압구정현대8차","아파트","서울특별시 강남구 압구정로 309","서울","강남구","압구정동","481","압구정로","309","025435723","025433358","","","분양","직영","혼합식","지역난방","5","515","도시개발","현대건설","1980-09-15 00:00:00.0","69926","64019","69061","0","0","371","","","","2022-04-05 17:24:25.0","","직영","단일계약","위탁","0.00","0","의무","1980-09-15 00:00:00.0","Y","N","127.0349464","37.5313427","2013-03-07 09:46:27.0"
"1111","A14085501","현대한강","아파트","서울특별시 용산구 이촌로34길 29","서울","용산구","이촌동","현대한강아파트","이촌로34길","29","027145650","027131890","","","분양","위탁관리","계단식","지역난방","4","516","현대건설(주)","현대아파트 재건축조합","1997-03-07 00:00:00.0","57480","38783","50398","198","318","0","","","","2022-04-05 04:44:00.0","907-00-31187-1","위탁","종합계약","위탁","0.00","1","의무","2015-11-24 13:11:14.0","Y","N","126.9575779","37.5233298","2013-03-07 09:46:27.0"
